Date,Open,High,Low,Close,Volume,Adj Close
2018/1/17,17.80,17.80,17.80,17.80,698,17.80
2018/1/16,16.50,16.50,16.50,16.50,11,16.50
2018/1/15,17.00,17.00,17.00,17.00,350,17.00
2018/1/12,16.18,16.18,16.18,16.18,16493,16.18
2018/1/11,17.80,17.80,17.80,17.80,268,17.80
2018/1/10,19.00,19.00,19.00,19.00,1000,19.00
2018/1/9,18.31,18.31,18.31,18.31,656,18.31
2018/1/8,19.00,19.00,19.00,19.00,500,19.00
2018/1/5,19.39,19.39,19.39,19.39,723,19.39
2018/1/4,20.93,20.93,20.93,20.93,2377,20.93
2018/1/3,21.00,21.00,21.00,21.00,758,21.00
2018/1/2,20.47,20.47,20.47,20.47,600,20.47
2017/12/29,21.79,21.79,21.79,21.79,535,21.79
2017/12/28,22.52,22.52,22.52,22.52,606,22.52
2017/12/27,22.30,22.30,22.30,22.30,536,22.30
2017/12/26,24.16,24.16,24.16,24.16,317,24.16
2017/12/25,26.48,26.48,26.48,26.48,398,26.48
2017/12/22,24.97,24.97,24.97,24.97,580,24.97
2017/12/21,22.80,22.80,22.80,22.80,361,22.80
2017/12/20,20.84,20.84,20.84,20.84,362,20.84
2017/12/19,20.00,20.00,20.00,20.00,500,20.00
2017/12/18,20.87,20.87,20.87,20.87,200,20.87
2017/12/15,23.19,23.19,23.19,23.19,615,23.19
2017/12/14,22.61,22.61,22.61,22.61,460,22.61
2017/12/13,20.62,20.62,20.62,20.62,807,20.62
2017/12/12,20.24,20.24,20.24,20.24,736,20.24
2017/12/11,20.00,20.00,20.00,20.00,500,20.00
2017/12/8,18.97,18.97,18.97,18.97,300,18.97
2017/12/7,21.08,21.08,21.08,21.08,550,21.08
2017/12/5,22.92,22.92,22.92,22.92,1219,22.92
2017/12/4,23.93,23.93,23.93,23.93,966,23.93
2017/11/23,24.83,24.83,24.83,24.83,377,24.83
2017/11/22,27.59,27.59,27.59,27.59,1,27.59
2017/11/20,30.66,30.66,30.66,30.66,489,30.66
2017/11/17,28.50,28.50,28.50,28.50,339,28.50
2017/11/16,28.60,28.60,28.60,28.60,407,28.60
2017/11/15,28.11,28.11,28.11,28.11,252,28.11
