Date,Open,High,Low,Close,Volume,AdjClose
2019/6/12,27500,27500,27500,27500,0,27500
2019/6/11,27500,27500,27500,27500,2000,27500
2019/6/10,27500,27500,27500,27500,100000,27500
2019/6/7,27500,27500,27500,27500,0,27500
2019/6/5,27500,27500,27500,27500,0,27500
2019/6/4,27500,27500,27500,27500,0,27500
2019/6/3,27500,27500,27500,27500,0,27500
2019/5/31,27500,27500,27500,27500,0,27500
2019/5/30,27500,27500,27500,27500,500,27500
2019/5/29,27500,27500,27500,27900,0,27900
2019/5/28,27900,27900,27900,27900,0,27900
2019/5/27,27900,27900,27900,27900,0,27900
2019/5/24,27900,27900,27900,27900,0,27900
2019/5/23,27900,27900,27900,27900,0,27900
2019/5/22,27900,27900,27900,27900,0,27900
2019/5/21,27900,27900,27900,27900,40000,27900
2019/5/20,27900,27900,27900,27900,0,27900
2019/5/17,27900,27900,27900,27900,0,27900
2019/5/16,27900,27900,27900,27900,0,27900
2019/5/15,27900,27900,27900,27900,0,27900
2019/5/14,27900,27900,27900,27900,0,27900
2019/5/13,27900,27900,27900,27900,0,27900
2019/5/10,27900,27900,27900,27900,0,27900
2019/5/9,27900,27900,27900,27600,0,27600
2019/5/8,27600,27600,27600,27600,0,27600
2019/5/7,27600,27600,27600,27600,0,27600
2019/5/3,27600,27600,27600,27500,0,27500
2019/5/2,27500,27500,27500,27500,0,27500
2019/4/30,27500,27500,27500,27500,0,27500
2019/4/29,27500,27500,27500,27500,0,27500
2019/4/26,27500,27500,27500,27500,0,27500
2019/4/25,27500,27500,27500,27500,0,27500
2019/4/24,27500,27500,27500,27000,0,27000
2019/4/23,27000,27000,27000,26600,0,26600
2019/4/22,26600,26600,26600,26600,0,26600
2019/4/19,26600,26600,26600,26600,0,26600
2019/4/18,26600,26600,26600,26600,0,26600
2019/4/17,26600,26600,26600,26600,0,26600
2019/4/16,26600,26600,26600,26600,0,26600
2019/4/15,26600,26600,26600,26600,0,26600
2019/4/12,26600,26600,26600,26600,0,26600
2019/4/11,26600,26600,26600,26600,0,26600
2019/4/10,26600,26600,26600,26600,0,26600
2019/4/9,26600,26600,26600,26600,0,26600
2019/4/8,26600,26600,26600,26600,0,26600
2019/4/5,26600,26600,26600,26600,0,26600
2019/4/4,26600,26600,26600,26600,0,26600
2019/4/3,26600,26600,26600,26600,0,26600
2019/4/2,26600,26600,26600,26550,0,26550
2019/4/1,26550,26550,26550,26550,0,26550
2019/3/29,26550,26550,26550,26550,0,26550
2019/3/28,26550,26550,26550,26550,0,26550
2019/3/27,26550,26550,26550,26550,0,26550
2019/3/26,26550,26550,26550,26100,0,26100
2019/3/25,26100,26100,26100,26100,0,26100
2019/3/22,26100,26100,26100,26100,0,26100
2019/3/21,26100,26100,26100,26050,0,26050
2019/3/20,26050,26050,26050,26050,0,26050
2019/3/19,26050,26050,26050,26050,0,26050
2019/3/18,26050,26050,26050,26050,0,26050
2019/3/15,26050,26050,26050,26050,0,26050
2019/3/14,26050,26050,26050,26050,0,26050
2019/3/13,26050,26050,26050,26050,0,26050
2019/3/12,26050,26050,26050,26050,0,26050
2019/3/11,26050,26050,26050,26050,0,26050
2019/3/8,26050,26050,26050,26050,0,26050
2019/3/7,26050,26050,26050,26050,0,26050
2019/3/6,26050,26050,26050,26050,0,26050
2019/3/5,26050,26050,26050,26050,0,26050
2019/3/4,26050,26050,26050,26050,0,26050
2019/2/28,26050,26050,26050,26050,0,26050
2019/2/27,26050,26050,26050,26050,0,26050
2019/2/26,26050,26050,26050,26050,0,26050
2019/2/25,26050,26050,26050,26050,0,26050
2019/2/22,26050,26050,26050,26050,0,26050
2019/2/21,26050,26050,26050,26000,0,26000
2019/2/20,26000,26000,26000,26000,45000,26000
2019/2/19,26000,26000,26000,25050,0,25050
2019/2/18,25050,25050,25050,25000,0,25000
2019/2/15,25000,25000,25000,25000,0,25000
2019/2/14,25000,25000,25000,25000,0,25000
2019/2/13,25000,25000,25000,25000,0,25000
2019/2/12,25000,25000,25000,25000,0,25000
2019/2/11,25000,25000,25000,25000,0,25000
2019/2/8,25000,25000,25000,23200,0,23200
2019/2/7,23200,23200,23200,23200,0,23200
2019/2/1,23200,23200,23200,23200,0,23200
2019/1/31,23200,23200,23200,23200,0,23200
2019/1/30,23200,23200,23200,23200,0,23200
2019/1/29,23200,23200,23200,23200,38000,23200
2019/1/28,23200,23200,23200,23200,99000,23200
2019/1/25,23200,23200,23200,23200,0,23200
2019/1/24,23200,23200,23200,23200,0,23200
2019/1/23,23200,23200,23200,23200,0,23200
2019/1/22,23200,23200,23200,23200,100000,23200
2019/1/21,23200,23200,23200,23200,0,23200
2019/1/18,23200,23200,23200,23200,0,23200
2019/1/17,23200,23200,23200,23200,0,23200
2019/1/16,23200,23200,23200,23200,0,23200
2019/1/15,23200,23200,23200,23200,0,23200
2019/1/14,23200,23200,23200,23200,0,23200
2019/1/11,23200,23200,23200,23200,0,23200
2019/1/10,23200,23200,23200,23200,0,23200
2019/1/9,23200,23200,23200,23200,0,23200
2019/1/8,23200,23200,23200,23200,0,23200
2019/1/7,23200,23200,23200,23200,0,23200
2019/1/4,23200,23200,23200,23200,0,23200
2019/1/3,23200,23200,23200,23200,0,23200
2019/1/2,23200,23200,23200,23200,0,23200
